Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
12611,no_value,Ethiopia,2020-04-01,29.0,0.0
16303,no_value,Iraq,2020-01-22,0.0,0.0
4933,Newfoundland and Labrador,Canada,2020-02-21,0.0,0.0
30569,New Jersey,US,2020-02-07,0.0,0.0
15121,no_value,Guinea,2020-04-03,73.0,0.0
23310,no_value,Russia,2020-03-15,63.0,0.0
25252,no_value,South Sudan,2020-03-19,0.0,0.0
20721,no_value,Nepal,2020-04-17,30.0,0.0
6010,no_value,Chad,2020-04-12,18.0,0.0
29136,Kentucky,US,2020-03-27,301.0,7.0
7990,Jiangsu,China,2020-01-31,168.0,0.0
15666,no_value,Honduras,2020-03-09,0.0,0.0
25253,no_value,South Sudan,2020-03-20,0.0,0.0
6305,Beijing,China,2020-02-25,400.0,4.0
24864,no_value,Slovenia,2020-02-02,0.0,0.0
7242,Hebei,China,2020-03-21,318.0,6.0
33653,Bermuda,United Kingdom,2020-02-13,0.0,0.0
7472,Henan,China,2020-03-23,1274.0,22.0
8121,Jiangxi,China,2020-02-17,930.0,1.0
17591,no_value,Kuwait,2020-02-25,11.0,0.0
29830,Minnesota,US,2020-04-06,986.0,30.0
4069,no_value,Burundi,2020-04-09,3.0,0.0
30036,Missouri,US,2020-03-15,5.0,0.0
15648,no_value,Honduras,2020-02-20,0.0,0.0
8978,Shandong,China,2020-04-16,784.0,7.0
10435,no_value,Cote d'Ivoire,2020-03-22,14.0,0.0
31660,Puerto Rico,US,2020-04-12,897.0,44.0
26640,no_value,Togo,2020-04-08,70.0,3.0
6341,Beijing,China,2020-04-01,580.0,8.0
24878,no_value,Slovenia,2020-02-16,0.0,0.0
17722,no_value,Kyrgyzstan,2020-03-13,0.0,0.0
23313,no_value,Russia,2020-03-18,147.0,0.0
24296,no_value,Serbia,2020-02-04,0.0,0.0
5943,no_value,Chad,2020-02-05,0.0,0.0
8356,Liaoning,China,2020-02-24,121.0,1.0
13950,St Martin,France,2020-03-03,0.0,0.0
28222,Georgia,US,2020-03-25,1247.0,40.0
13369,Mayotte,France,2020-02-21,0.0,0.0
4233,no_value,Cambodia,2020-02-05,1.0,0.0
30895,North Carolina,US,2020-01-22,0.0,0.0
14163,no_value,Gabon,2020-02-17,0.0,0.0
32741,Washington,US,2020-02-13,0.0,0.0
14371,no_value,Georgia,2020-01-28,0.0,0.0
4810,New Brunswick,Canada,2020-02-12,0.0,0.0
17357,no_value,"Korea, South",2020-02-19,31.0,0.0
31166,Ohio,US,2020-03-05,0.0,0.0
9613,Xinjiang,China,2020-02-27,76.0,2.0
30802,New York,US,2020-02-12,0.0,0.0
25659,no_value,Suriname,2020-01-30,0.0,0.0
4403,no_value,Cameroon,2020-04-01,233.0,6.0
13686,Saint Barthelemy,France,2020-01-27,0.0,0.0
29552,Massachusetts,US,2020-02-16,0.0,0.0
34173,Falkland Islands (Malvinas),United Kingdom,2020-04-17,11.0,0.0
18620,no_value,Luxembourg,2020-02-28,0.0,0.0
2746,no_value,Belize,2020-01-31,0.0,0.0
25555,no_value,Sudan,2020-02-09,0.0,0.0
29441,Maryland,US,2020-02-19,0.0,0.0
15328,no_value,Guyana,2020-03-13,1.0,1.0
987,Australian Capital Territory,Australia,2020-04-05,96.0,2.0
21208,no_value,Netherlands,2020-01-25,0.0,0.0
24596,no_value,Sierra Leone,2020-04-16,15.0,0.0
12373,no_value,Estonia,2020-03-22,326.0,0.0
13681,Saint Barthelemy,France,2020-01-22,0.0,0.0
23106,no_value,Qatar,2020-04-08,2210.0,6.0
27638,Colorado,US,2020-03-11,34.0,0.0
11697,no_value,Dominican Republic,2020-03-30,901.0,42.0
23941,no_value,Sao Tome and Principe,2020-01-22,0.0,0.0
32527,Virgin Islands,US,2020-02-27,0.0,0.0
5379,Prince Edward Island,Canada,2020-02-11,0.0,0.0
9831,Zhejiang,China,2020-02-17,1171.0,0.0
15011,no_value,Guatemala,2020-04-07,77.0,3.0
2428,no_value,Barbados,2020-02-24,0.0,0.0
32977,Wisconsin,US,2020-02-21,0.0,0.0
12934,French Guiana,France,2020-03-13,5.0,0.0
3196,no_value,Bosnia and Herzegovina,2020-01-25,0.0,0.0
10166,no_value,Congo (Kinshasa),2020-02-10,0.0,0.0
22580,no_value,Peru,2020-01-29,0.0,0.0
31402,Oregon,US,2020-03-13,30.0,0.0
20883,"Bonaire, Sint Eustatius and Saba",Netherlands,2020-02-11,0.0,0.0
25257,no_value,South Sudan,2020-03-24,0.0,0.0
17706,no_value,Kyrgyzstan,2020-02-26,0.0,0.0
29641,Michigan,US,2020-01-22,0.0,0.0
25798,no_value,Sweden,2020-02-24,1.0,0.0
24399,no_value,Seychelles,2020-01-24,0.0,0.0
33107,Wyoming,US,2020-03-08,0.0,0.0
9428,Tianjin,China,2020-04-10,183.0,3.0
32503,Virgin Islands,US,2020-02-03,0.0,0.0
16117,no_value,Indonesia,2020-03-04,2.0,0.0
22870,no_value,Poland,2020-03-31,2311.0,33.0
30051,Missouri,US,2020-03-30,1051.0,13.0
525,no_value,Angola,2020-03-30,7.0,2.0
27589,Colorado,US,2020-01-22,0.0,0.0
34112,Falkland Islands (Malvinas),United Kingdom,2020-02-16,0.0,0.0
18195,no_value,Liberia,2020-03-30,3.0,0.0
20653,no_value,Nepal,2020-02-09,1.0,0.0
4742,Manitoba,Canada,2020-03-29,72.0,1.0
30800,New York,US,2020-02-10,0.0,0.0
2554,no_value,Belarus,2020-03-07,6.0,0.0
19306,no_value,Mali,2020-03-01,0.0,0.0
8946,Shandong,China,2020-03-15,760.0,7.0
528,no_value,Angola,2020-04-02,8.0,2.0
13067,French Polynesia,France,2020-04-01,37.0,0.0
5709,Yukon,Canada,2020-01-30,0.0,0.0
23372,no_value,Rwanda,2020-01-23,0.0,0.0
22620,no_value,Peru,2020-03-09,7.0,0.0
23291,no_value,Russia,2020-02-25,2.0,0.0
10913,no_value,Czechia,2020-04-13,6059.0,143.0
7075,Hainan,China,2020-01-28,40.0,1.0
30712,New Mexico,US,2020-03-07,0.0,0.0
14619,no_value,Ghana,2020-02-17,0.0,0.0
18951,no_value,Malawi,2020-02-17,0.0,0.0
23728,no_value,Saint Vincent and the Grenadines,2020-02-06,0.0,0.0
24004,no_value,Sao Tome and Principe,2020-03-25,0.0,0.0
29372,Maine,US,2020-04-04,456.0,10.0
18964,no_value,Malawi,2020-03-01,0.0,0.0
21438,no_value,Nicaragua,2020-01-27,0.0,0.0
1610,Victoria,Australia,2020-02-04,4.0,0.0
19080,no_value,Malaysia,2020-03-03,36.0,0.0
20102,no_value,Mongolia,2020-02-28,0.0,0.0
23511,no_value,Saint Kitts and Nevis,2020-02-17,0.0,0.0
34221,Gibraltar,United Kingdom,2020-02-11,0.0,0.0
19538,no_value,Mauritania,2020-03-05,0.0,0.0
24432,no_value,Seychelles,2020-02-26,0.0,0.0
9842,Zhejiang,China,2020-02-28,1205.0,1.0
21717,no_value,Nigeria,2020-03-18,8.0,0.0
35175,no_value,Vietnam,2020-03-24,134.0,0.0
11419,no_value,Djibouti,2020-02-09,0.0,0.0
12462,no_value,Eswatini,2020-02-26,0.0,0.0
23685,no_value,Saint Lucia,2020-04-17,15.0,0.0
22691,no_value,Philippines,2020-01-26,0.0,0.0
30472,New Hampshire,US,2020-02-24,0.0,0.0
4967,Newfoundland and Labrador,Canada,2020-03-26,82.0,0.0
26124,no_value,Taiwan*,2020-02-08,17.0,0.0
29263,Louisiana,US,2020-04-09,18283.0,702.0
11418,no_value,Djibouti,2020-02-08,0.0,0.0
23419,no_value,Rwanda,2020-03-10,0.0,0.0
8385,Liaoning,China,2020-03-24,127.0,2.0
20930,"Bonaire, Sint Eustatius and Saba",Netherlands,2020-03-29,0.0,0.0
25262,no_value,South Sudan,2020-03-29,0.0,0.0
24755,no_value,Slovakia,2020-02-07,0.0,0.0
26058,no_value,Syria,2020-03-27,5.0,0.0
18617,no_value,Luxembourg,2020-02-25,0.0,0.0
20876,"Bonaire, Sint Eustatius and Saba",Netherlands,2020-02-04,0.0,0.0
26476,no_value,Timor-Leste,2020-02-18,0.0,0.0
24216,no_value,Senegal,2020-03-09,4.0,0.0
25836,no_value,Sweden,2020-04-02,5568.0,308.0
31065,North Dakota,US,2020-03-18,6.0,0.0
17372,no_value,"Korea, South",2020-03-05,6088.0,35.0
34048,Channel Islands,United Kingdom,2020-04-06,323.0,7.0
32158,Texas,US,2020-01-31,0.0,0.0
26268,no_value,Tanzania,2020-03-09,0.0,0.0
6110,no_value,Chile,2020-03-29,2139.0,7.0
10264,no_value,Costa Rica,2020-01-25,0.0,0.0
13590,Reunion,France,2020-02-14,0.0,0.0
9843,Zhejiang,China,2020-02-29,1205.0,1.0
14393,no_value,Georgia,2020-02-19,0.0,0.0
18760,no_value,MS Zaandam,2020-03-25,0.0,0.0
3002,no_value,Bhutan,2020-02-28,0.0,0.0
18320,no_value,Libya,2020-04-10,24.0,1.0
34476,Montserrat,United Kingdom,2020-03-09,0.0,0.0
34550,Turks and Caicos Islands,United Kingdom,2020-01-29,0.0,0.0
9949,no_value,Colombia,2020-02-21,0.0,0.0
35017,no_value,Venezuela,2020-02-09,0.0,0.0
33917,Cayman Islands,United Kingdom,2020-03-20,3.0,1.0
17050,no_value,Jordan,2020-03-25,172.0,0.0
8901,Shandong,China,2020-01-30,158.0,0.0
2075,no_value,Bahamas,2020-02-13,0.0,0.0
31385,Oregon,US,2020-02-25,0.0,0.0
3577,no_value,Brunei,2020-03-04,0.0,0.0
11431,no_value,Djibouti,2020-02-21,0.0,0.0
27883,Delaware,US,2020-03-28,214.0,5.0
19764,no_value,Mexico,2020-03-03,5.0,0.0
26367,no_value,Thailand,2020-02-23,35.0,0.0
9311,Sichuan,China,2020-04-07,560.0,3.0
19384,no_value,Malta,2020-01-25,0.0,0.0
15195,no_value,Guinea-Bissau,2020-02-23,0.0,0.0
13616,Reunion,France,2020-03-11,1.0,0.0
20675,no_value,Nepal,2020-03-02,1.0,0.0
7792,Hunan,China,2020-03-01,1018.0,4.0
22385,no_value,Papua New Guinea,2020-03-02,0.0,0.0
21494,no_value,Nicaragua,2020-03-23,2.0,0.0
11680,no_value,Dominican Republic,2020-03-13,5.0,0.0
30902,North Carolina,US,2020-01-29,0.0,0.0
6882,Guangxi,China,2020-03-03,252.0,2.0
23158,no_value,Romania,2020-02-06,0.0,0.0
32899,West Virginia,US,2020-03-28,96.0,0.0
6051,no_value,Chile,2020-01-30,0.0,0.0
1744,Western Australia,Australia,2020-02-24,0.0,0.0
5282,Ontario,Canada,2020-02-28,6.0,0.0
24458,no_value,Seychelles,2020-03-23,7.0,0.0
13367,Mayotte,France,2020-02-19,0.0,0.0
32456,Vermont,US,2020-04-10,679.0,24.0
3158,no_value,Bolivia,2020-04-10,268.0,19.0
29652,Michigan,US,2020-02-02,0.0,0.0
10002,no_value,Colombia,2020-04-14,2979.0,127.0
1076,New South Wales,Australia,2020-03-11,65.0,2.0
10447,no_value,Cote d'Ivoire,2020-04-03,218.0,1.0
8929,Shandong,China,2020-02-27,756.0,6.0
15425,no_value,Haiti,2020-02-25,0.0,0.0
9966,no_value,Colombia,2020-03-09,1.0,0.0
15397,no_value,Haiti,2020-01-28,0.0,0.0
30389,Nevada,US,2020-03-26,420.0,10.0
23998,no_value,Sao Tome and Principe,2020-03-19,0.0,0.0
35268,no_value,West Bank and Gaza,2020-03-03,0.0,0.0
15187,no_value,Guinea-Bissau,2020-02-15,0.0,0.0
24368,no_value,Serbia,2020-04-16,5318.0,103.0
26262,no_value,Tanzania,2020-03-03,0.0,0.0
11637,no_value,Dominican Republic,2020-01-30,0.0,0.0
11577,no_value,Dominica,2020-03-24,2.0,0.0
21092,Sint Maarten,Netherlands,2020-01-23,0.0,0.0
577,no_value,Antigua and Barbuda,2020-01-28,0.0,0.0
17038,no_value,Jordan,2020-03-13,1.0,0.0
13246,Martinique,France,2020-02-12,0.0,0.0
28752,Indiana,US,2020-02-14,0.0,0.0
17976,no_value,Latvia,2020-04-08,577.0,2.0
32992,Wisconsin,US,2020-03-07,0.0,0.0
23965,no_value,Sao Tome and Principe,2020-02-15,0.0,0.0
26467,no_value,Timor-Leste,2020-02-09,0.0,0.0
31268,Oklahoma,US,2020-02-22,0.0,0.0
33121,Wyoming,US,2020-03-22,26.0,0.0
34897,no_value,Uzbekistan,2020-02-03,0.0,0.0
25504,no_value,Sri Lanka,2020-04-12,210.0,7.0
19234,no_value,Maldives,2020-04-12,20.0,0.0
28330,Guam,US,2020-03-19,12.0,0.0
2995,no_value,Bhutan,2020-02-21,0.0,0.0
17023,no_value,Jordan,2020-02-27,0.0,0.0
24580,no_value,Sierra Leone,2020-03-31,1.0,0.0
12235,no_value,Eritrea,2020-02-27,0.0,0.0
30034,Missouri,US,2020-03-13,2.0,0.0
6727,Guangdong,China,2020-01-22,26.0,0.0
11909,no_value,Egypt,2020-03-14,109.0,2.0
13296,Martinique,France,2020-04-02,138.0,3.0
23658,no_value,Saint Lucia,2020-03-21,2.0,0.0
13802,Saint Pierre and Miquelon,France,2020-01-29,0.0,0.0
35119,no_value,Vietnam,2020-01-28,2.0,0.0
7700,Hubei,China,2020-03-23,67800.0,3153.0
8969,Shandong,China,2020-04-07,781.0,7.0
19298,no_value,Mali,2020-02-22,0.0,0.0
25689,no_value,Suriname,2020-02-29,0.0,0.0
25537,no_value,Sudan,2020-01-22,0.0,0.0
29767,Minnesota,US,2020-02-03,0.0,0.0
34009,Channel Islands,United Kingdom,2020-02-27,0.0,0.0
16365,no_value,Iraq,2020-03-24,316.0,27.0
8807,Shaanxi,China,2020-02-19,242.0,0.0
8820,Shaanxi,China,2020-03-03,245.0,1.0
31588,Puerto Rico,US,2020-01-31,0.0,0.0
4803,New Brunswick,Canada,2020-02-05,0.0,0.0
18248,no_value,Libya,2020-01-29,0.0,0.0
11448,no_value,Djibouti,2020-03-09,0.0,0.0
21131,Sint Maarten,Netherlands,2020-03-02,0.0,0.0
24011,no_value,Sao Tome and Principe,2020-04-01,0.0,0.0
27383,Arkansas,US,2020-02-13,0.0,0.0
27898,Delaware,US,2020-04-12,1625.0,35.0
24117,no_value,Saudi Arabia,2020-03-24,767.0,1.0
26072,no_value,Syria,2020-04-10,19.0,2.0
31168,Ohio,US,2020-03-07,0.0,0.0
26380,no_value,Thailand,2020-03-07,50.0,1.0
24330,no_value,Serbia,2020-03-09,1.0,0.0
12033,no_value,El Salvador,2020-03-24,5.0,0.0
5553,Quebec,Canada,2020-04-11,12292.0,289.0
14252,no_value,Gambia,2020-01-23,0.0,0.0
27636,Colorado,US,2020-03-09,0.0,0.0
25622,no_value,Sudan,2020-04-16,32.0,5.0
9008,Shanghai,China,2020-01-23,16.0,0.0
19962,no_value,Monaco,2020-02-02,0.0,0.0
26677,no_value,Trinidad and Tobago,2020-01-22,0.0,0.0
19737,no_value,Mexico,2020-02-05,0.0,0.0
15017,no_value,Guatemala,2020-04-13,156.0,5.0
24922,no_value,Slovenia,2020-03-31,802.0,15.0
32268,Utah,US,2020-01-27,0.0,0.0
30387,Nevada,US,2020-03-24,278.0,4.0
23864,no_value,San Marino,2020-02-28,1.0,0.0
17332,no_value,"Korea, South",2020-01-25,2.0,0.0
25823,no_value,Sweden,2020-03-20,1639.0,16.0
17699,no_value,Kyrgyzstan,2020-02-19,0.0,0.0
33488,no_value,United Arab Emirates,2020-04-16,5825.0,35.0
4229,no_value,Cambodia,2020-02-01,1.0,0.0
13457,New Caledonia,France,2020-01-26,0.0,0.0
26191,no_value,Taiwan*,2020-04-15,395.0,6.0
1612,Victoria,Australia,2020-02-06,4.0,0.0
6457,Chongqing,China,2020-04-03,579.0,6.0
16891,no_value,Japan,2020-02-09,26.0,0.0
12142,no_value,Equatorial Guinea,2020-03-19,6.0,0.0
23619,no_value,Saint Lucia,2020-02-11,0.0,0.0
3702,no_value,Bulgaria,2020-03-15,51.0,2.0
25618,no_value,Sudan,2020-04-12,19.0,2.0
14602,no_value,Ghana,2020-01-31,0.0,0.0
33982,Channel Islands,United Kingdom,2020-01-31,0.0,0.0
33358,no_value,Ukraine,2020-03-31,645.0,17.0
18401,no_value,Liechtenstein,2020-03-08,1.0,0.0
26520,no_value,Timor-Leste,2020-04-02,1.0,0.0
10046,no_value,Congo (Brazzaville),2020-02-04,0.0,0.0
30331,Nevada,US,2020-01-28,0.0,0.0
1101,New South Wales,Australia,2020-04-05,2580.0,16.0
2476,no_value,Barbados,2020-04-12,71.0,4.0
12283,no_value,Eritrea,2020-04-15,35.0,0.0
960,Australian Capital Territory,Australia,2020-03-09,0.0,0.0
20190,no_value,Montenegro,2020-02-02,0.0,0.0
17611,no_value,Kuwait,2020-03-16,123.0,0.0
2357,no_value,Bangladesh,2020-04-07,164.0,17.0
711,no_value,Argentina,2020-02-17,0.0,0.0
3954,no_value,Burma,2020-04-08,22.0,3.0
31047,North Dakota,US,2020-02-29,0.0,0.0
19611,no_value,Mauritius,2020-01-24,0.0,0.0
21619,no_value,Niger,2020-04-03,120.0,5.0
242,no_value,Algeria,2020-02-04,0.0,0.0
32897,West Virginia,US,2020-03-26,52.0,0.0
11373,no_value,Diamond Princess,2020-04-17,712.0,13.0
22147,no_value,Pakistan,2020-02-21,0.0,0.0
9661,Xinjiang,China,2020-04-15,76.0,3.0
24212,no_value,Senegal,2020-03-05,4.0,0.0
19408,no_value,Malta,2020-02-18,0.0,0.0
12120,no_value,Equatorial Guinea,2020-02-26,0.0,0.0
27274,Arizona,US,2020-02-18,0.0,0.0
12783,no_value,Finland,2020-02-05,1.0,0.0
16190,no_value,Iran,2020-01-23,0.0,0.0
31939,South Dakota,US,2020-02-09,0.0,0.0
1371,South Australia,Australia,2020-01-24,0.0,0.0
8939,Shandong,China,2020-03-08,758.0,6.0
7600,Hong Kong,China,2020-04-06,914.0,4.0
19857,no_value,Moldova,2020-02-11,0.0,0.0
24775,no_value,Slovakia,2020-02-27,0.0,0.0
8350,Liaoning,China,2020-02-18,121.0,1.0
4385,no_value,Cameroon,2020-03-14,2.0,0.0
9179,Shanxi,China,2020-03-20,133.0,0.0
21681,no_value,Nigeria,2020-02-11,0.0,0.0
22833,no_value,Poland,2020-02-23,0.0,0.0
14841,no_value,Grenada,2020-02-11,0.0,0.0
28535,Idaho,US,2020-02-25,0.0,0.0
14061,no_value,France,2020-02-29,100.0,2.0
9063,Shanghai,China,2020-03-18,361.0,3.0
28402,Hawaii,US,2020-02-06,0.0,0.0
9855,Zhejiang,China,2020-03-12,1215.0,1.0
4265,no_value,Cambodia,2020-03-08,2.0,0.0
20792,Aruba,Netherlands,2020-03-05,0.0,0.0
3802,no_value,Burkina Faso,2020-03-01,0.0,0.0
33464,no_value,United Arab Emirates,2020-03-23,198.0,2.0
7893,Inner Mongolia,China,2020-02-17,72.0,0.0
21950,no_value,Norway,2020-03-23,2621.0,10.0
13983,St Martin,France,2020-04-05,32.0,2.0
35131,no_value,Vietnam,2020-02-09,13.0,0.0
28876,Iowa,US,2020-02-24,0.0,0.0
6463,Chongqing,China,2020-04-09,579.0,6.0
18553,no_value,Lithuania,2020-04-15,1091.0,30.0
27041,Alabama,US,2020-02-13,0.0,0.0
23152,no_value,Romania,2020-01-31,0.0,0.0
6904,Guangxi,China,2020-03-25,254.0,2.0
16112,no_value,Indonesia,2020-02-28,0.0,0.0
9381,Tianjin,China,2020-02-23,135.0,3.0
23873,no_value,San Marino,2020-03-08,36.0,1.0
21804,no_value,North Macedonia,2020-02-20,0.0,0.0
16911,no_value,Japan,2020-02-29,241.0,5.0
32218,Texas,US,2020-03-31,3809.0,54.0
20822,Aruba,Netherlands,2020-04-04,64.0,0.0
6991,Guizhou,China,2020-02-27,146.0,2.0
34233,Gibraltar,United Kingdom,2020-02-23,0.0,0.0
27067,Alabama,US,2020-03-10,0.0,0.0
25377,no_value,Spain,2020-03-30,87956.0,7716.0
24683,no_value,Singapore,2020-03-20,385.0,0.0
13822,Saint Pierre and Miquelon,France,2020-02-18,0.0,0.0
29452,Maryland,US,2020-03-01,0.0,0.0
32508,Virgin Islands,US,2020-02-08,0.0,0.0
34673,no_value,United Kingdom,2020-02-07,3.0,0.0
12658,no_value,Fiji,2020-01-25,0.0,0.0
10418,no_value,Cote d'Ivoire,2020-03-05,0.0,0.0
26730,no_value,Trinidad and Tobago,2020-03-15,2.0,0.0
30400,Nevada,US,2020-04-06,1953.0,46.0
22860,no_value,Poland,2020-03-21,536.0,5.0
20208,no_value,Montenegro,2020-02-20,0.0,0.0
31595,Puerto Rico,US,2020-02-07,0.0,0.0
8284,Jilin,China,2020-04-06,98.0,1.0
12554,no_value,Ethiopia,2020-02-04,0.0,0.0
23869,no_value,San Marino,2020-03-04,16.0,1.0
30292,Nebraska,US,2020-04-12,791.0,17.0
21722,no_value,Nigeria,2020-03-23,40.0,1.0
29437,Maryland,US,2020-02-15,0.0,0.0
25453,no_value,Sri Lanka,2020-02-21,1.0,0.0
2433,no_value,Barbados,2020-02-29,0.0,0.0
6665,Gansu,China,2020-03-14,129.0,2.0
31405,Oregon,US,2020-03-16,39.0,1.0
3435,no_value,Brazil,2020-02-05,0.0,0.0
18064,no_value,Lebanon,2020-03-13,77.0,3.0
29043,Kansas,US,2020-04-17,1730.0,82.0
3142,no_value,Bolivia,2020-03-25,32.0,0.0
28098,Florida,US,2020-03-15,115.0,4.0
1388,South Australia,Australia,2020-02-10,2.0,0.0
18656,no_value,Luxembourg,2020-04-04,2729.0,31.0
5254,Ontario,Canada,2020-01-31,3.0,0.0
11029,Faroe Islands,Denmark,2020-04-15,184.0,0.0
35630,no_value,Zimbabwe,2020-03-23,3.0,1.0
15983,no_value,India,2020-02-13,3.0,0.0
14891,no_value,Grenada,2020-04-01,9.0,0.0
18286,no_value,Libya,2020-03-07,0.0,0.0
19956,no_value,Monaco,2020-01-27,0.0,0.0
31959,South Dakota,US,2020-02-29,0.0,0.0
6101,no_value,Chile,2020-03-20,434.0,0.0
17508,no_value,Kosovo,2020-03-27,86.0,1.0
24404,no_value,Seychelles,2020-01-29,0.0,0.0
24025,no_value,Sao Tome and Principe,2020-04-15,4.0,0.0
25577,no_value,Sudan,2020-03-02,0.0,0.0
33589,Anguilla,United Kingdom,2020-04-03,3.0,0.0
5543,Quebec,Canada,2020-04-01,4611.0,33.0
18264,no_value,Libya,2020-02-14,0.0,0.0
16003,no_value,India,2020-03-04,28.0,0.0
19163,no_value,Maldives,2020-02-01,0.0,0.0
6279,Beijing,China,2020-01-30,114.0,1.0
30166,Montana,US,2020-03-31,198.0,5.0
18090,no_value,Lebanon,2020-04-08,576.0,19.0
25382,no_value,Spain,2020-04-04,126168.0,11947.0
3490,no_value,Brazil,2020-03-31,5717.0,201.0
31283,Oklahoma,US,2020-03-08,0.0,0.0
24687,no_value,Singapore,2020-03-24,558.0,2.0
11205,no_value,Denmark,2020-02-23,0.0,0.0
5078,Northwest Territories,Canada,2020-03-23,0.0,0.0
30069,Missouri,US,2020-04-17,5371.0,184.0
15549,no_value,Holy See,2020-03-06,1.0,0.0
5760,Yukon,Canada,2020-03-21,0.0,0.0
4982,Newfoundland and Labrador,Canada,2020-04-10,239.0,3.0
26853,no_value,Tunisia,2020-03-24,114.0,4.0
33679,Bermuda,United Kingdom,2020-03-10,0.0,0.0
15553,no_value,Holy See,2020-03-10,1.0,0.0
16467,no_value,Ireland,2020-03-12,43.0,1.0
26171,no_value,Taiwan*,2020-03-26,252.0,2.0
24540,no_value,Sierra Leone,2020-02-20,0.0,0.0
15065,no_value,Guinea,2020-02-07,0.0,0.0
34336,Isle of Man,United Kingdom,2020-02-12,0.0,0.0
30605,New Jersey,US,2020-03-14,69.0,1.0
14831,no_value,Grenada,2020-02-01,0.0,0.0
24286,no_value,Serbia,2020-01-25,0.0,0.0
18877,no_value,Madagascar,2020-03-28,26.0,0.0
4702,Manitoba,Canada,2020-02-18,0.0,0.0
10999,Faroe Islands,Denmark,2020-03-16,18.0,0.0
28623,Illinois,US,2020-01-30,0.0,0.0
23835,no_value,San Marino,2020-01-30,0.0,0.0
4868,New Brunswick,Canada,2020-04-10,112.0,0.0
23436,no_value,Rwanda,2020-03-27,54.0,0.0
31309,Oklahoma,US,2020-04-03,990.0,38.0
12056,no_value,El Salvador,2020-04-16,164.0,6.0
12465,no_value,Eswatini,2020-02-29,0.0,0.0
508,no_value,Angola,2020-03-13,0.0,0.0
33406,no_value,United Arab Emirates,2020-01-25,0.0,0.0
28797,Indiana,US,2020-03-30,1786.0,35.0
23521,no_value,Saint Kitts and Nevis,2020-02-27,0.0,0.0
12672,no_value,Fiji,2020-02-08,0.0,0.0
7930,Inner Mongolia,China,2020-03-25,77.0,1.0
32532,Virgin Islands,US,2020-03-03,0.0,0.0
22538,no_value,Paraguay,2020-04-10,129.0,6.0
12233,no_value,Eritrea,2020-02-25,0.0,0.0
32173,Texas,US,2020-02-15,0.0,0.0
3081,no_value,Bolivia,2020-01-24,0.0,0.0
7479,Henan,China,2020-03-30,1276.0,22.0
